path,filename,category,phase,status,checks,gate,json_valid,size_bytes,sha256
data/processed/modeling/sequences/y_3step_test.npy,y_3step_test.npy,other,non_phase,PRESENT,,,,13821,79fc918e6deb6736bd953ce2f786173841e5dfb7dea4f3b7bcf57e710e73ad03
data/processed/modeling/sequences/y_3step_train.npy,y_3step_train.npy,other,non_phase,PRESENT,,,,63564,5429730a9568e7591ed6eb8842bb3b7f06770f0619579d798b9ff49c034c8a0e
data/processed/modeling/sequences/y_3step_validation.npy,y_3step_validation.npy,other,non_phase,PRESENT,,,,13640,a1b26b205d5adea07129ed100192a49dba2bb15e84baae56e3b9d8bca5a1858d
data/processed/modeling/sequences/y_6step_test.npy,y_6step_test.npy,other,non_phase,PRESENT,,,,13821,79fc918e6deb6736bd953ce2f786173841e5dfb7dea4f3b7bcf57e710e73ad03
data/processed/modeling/sequences/y_6step_train.npy,y_6step_train.npy,other,non_phase,PRESENT,,,,63564,5429730a9568e7591ed6eb8842bb3b7f06770f0619579d798b9ff49c034c8a0e
data/processed/modeling/sequences/y_6step_validation.npy,y_6step_validation.npy,other,non_phase,PRESENT,,,,13640,a1b26b205d5adea07129ed100192a49dba2bb15e84baae56e3b9d8bca5a1858d
data/processed/modeling/splits/crss_2024_scenario_split.csv,crss_2024_scenario_split.csv,dataset_csv,non_phase,PRESENT,,,,5922553,f08c87a15306776b2dbbe890ec9c60211fb35e15133ecda86c4dd153d7a5c15c
data/processed/phase6_1/phase6_1_integrated_validation.csv,phase6_1_integrated_validation.csv,dataset_csv,phase6_1,PRESENT,,,,14664,4e59c3497e91bba61108332ff75ac673576ae7acf6bc8ae41fb5c254d8a3f8fd
data/processed/phase6_1/phase6_1_integrated_validation.jsonl,phase6_1_integrated_validation.jsonl,dataset_jsonl,phase6_1,PRESENT,,,,19196,8a625b3c68c1543b3c16307be991811ccda9157e38011aa38fe21a15818e1e07
data/processed/phase6_1/phase6_1_integrated_validation_schema.json,phase6_1_integrated_validation_schema.json,schema,phase6_1,PRESENT,,,,395,8792db058b555c23af577114f697b855ed74f177b73fd7981a25b3a968bfde5f
data/processed/phase6_2/phase6_2_corrected_ood.csv,phase6_2_corrected_ood.csv,dataset_csv,phase6_2,PRESENT,,,,934068,2dff46724670624e1618972c119dbaa01bc8367ab617b529eb3a0f94dbe6cf0c
data/processed/phase6_2/phase6_2_corrected_ood.jsonl,phase6_2_corrected_ood.jsonl,dataset_jsonl,phase6_2,PRESENT,,,,3819214,9662951fd6c7e4e41b5462103d083bae496cb68db30240b58fc1eb5d9ef24080
