scenario_id,metric,value
C08_SEQUENCE_GATEWAY_ATTACK,prediction_end_to_end_p95_ms,3.581505000056495
C08_SEQUENCE_GATEWAY_ATTACK,prediction_end_to_end_p99_ms,3.867100999932518
C08_SEQUENCE_GATEWAY_ATTACK,prediction_end_to_end_min_ms,2.3391999998239044
C08_SEQUENCE_GATEWAY_ATTACK,prediction_end_to_end_max_ms,5.069899999853078
C08_SEQUENCE_GATEWAY_ATTACK,prediction_end_to_end_std_ms,0.41612817593771423
C08_SEQUENCE_GATEWAY_ATTACK,y3_mean,0.31444672619303066
C08_SEQUENCE_GATEWAY_ATTACK,y6_mean,0.9527447854479154
C08_SEQUENCE_GATEWAY_ATTACK,cpu_only,True
C08_SEQUENCE_GATEWAY_ATTACK,laboratory_only,True
C08_SEQUENCE_GATEWAY_ATTACK,direct_actuation,False
C08_SEQUENCE_GATEWAY_ATTACK,model_retraining,False
C09_RESTRAINT_DOMAIN_ATTACK,records,9000
C09_RESTRAINT_DOMAIN_ATTACK,timesteps,600
C09_RESTRAINT_DOMAIN_ATTACK,windows,589
C09_RESTRAINT_DOMAIN_ATTACK,measured_windows,120
C09_RESTRAINT_DOMAIN_ATTACK,feature_build_mean_ms,33373.8008666669
C09_RESTRAINT_DOMAIN_ATTACK,feature_build_median_ms,33470.32179999996
C09_RESTRAINT_DOMAIN_ATTACK,feature_build_p95_ms,34094.503300000266
C09_RESTRAINT_DOMAIN_ATTACK,feature_build_p99_ms,34149.98610000029
C09_RESTRAINT_DOMAIN_ATTACK,window_build_mean_ms,1.1146999998648728
C09_RESTRAINT_DOMAIN_ATTACK,window_build_median_ms,1.0693999997783976
C09_RESTRAINT_DOMAIN_ATTACK,window_build_p95_ms,1.2046699996517418
C09_RESTRAINT_DOMAIN_ATTACK,window_build_p99_ms,1.2166939996404835
C09_RESTRAINT_DOMAIN_ATTACK,feature_window_mean_ms,33374.91556666676
C09_RESTRAINT_DOMAIN_ATTACK,feature_window_p95_ms,34095.571260000084
C09_RESTRAINT_DOMAIN_ATTACK,feature_window_p99_ms,34151.05521200008
C09_RESTRAINT_DOMAIN_ATTACK,transformer_mean_ms,2.5679949999698692
C09_RESTRAINT_DOMAIN_ATTACK,transformer_median_ms,2.4447000000691332
C09_RESTRAINT_DOMAIN_ATTACK,transformer_p95_ms,3.126404999625265
C09_RESTRAINT_DOMAIN_ATTACK,transformer_p99_ms,3.4156809999103643
C09_RESTRAINT_DOMAIN_ATTACK,prediction_end_to_end_mean_ms,2.651389999986501
C09_RESTRAINT_DOMAIN_ATTACK,prediction_end_to_end_median_ms,2.520300000014686
C09_RESTRAINT_DOMAIN_ATTACK,prediction_end_to_end_p95_ms,3.206535000299482
C09_RESTRAINT_DOMAIN_ATTACK,prediction_end_to_end_p99_ms,3.5100789999069093
C09_RESTRAINT_DOMAIN_ATTACK,prediction_end_to_end_min_ms,2.2840999999971245
C09_RESTRAINT_DOMAIN_ATTACK,prediction_end_to_end_max_ms,3.9065999999365886
C09_RESTRAINT_DOMAIN_ATTACK,prediction_end_to_end_std_ms,0.2918521159179062
C09_RESTRAINT_DOMAIN_ATTACK,y3_mean,0.31444672619303066
C09_RESTRAINT_DOMAIN_ATTACK,y6_mean,0.9527447854479154
C09_RESTRAINT_DOMAIN_ATTACK,cpu_only,True
C09_RESTRAINT_DOMAIN_ATTACK,laboratory_only,True
C09_RESTRAINT_DOMAIN_ATTACK,direct_actuation,False
C09_RESTRAINT_DOMAIN_ATTACK,model_retraining,False
C10_MULTI_DOMAIN_ATTACK,records,9000
C10_MULTI_DOMAIN_ATTACK,timesteps,600
C10_MULTI_DOMAIN_ATTACK,windows,589
C10_MULTI_DOMAIN_ATTACK,measured_windows,120
C10_MULTI_DOMAIN_ATTACK,feature_build_mean_ms,31211.204366666916
C10_MULTI_DOMAIN_ATTACK,feature_build_median_ms,33423.77090000037
C10_MULTI_DOMAIN_ATTACK,feature_build_p95_ms,34519.3471100004
C10_MULTI_DOMAIN_ATTACK,feature_build_p99_ms,34616.731662000406
C10_MULTI_DOMAIN_ATTACK,window_build_mean_ms,1.0911999999431525
C10_MULTI_DOMAIN_ATTACK,window_build_median_ms,0.8745000000089931
C10_MULTI_DOMAIN_ATTACK,window_build_p95_ms,1.553369999737697
C10_MULTI_DOMAIN_ATTACK,window_build_p99_ms,1.6137139997135819
C10_MULTI_DOMAIN_ATTACK,feature_window_mean_ms,31212.295566666853
C10_MULTI_DOMAIN_ATTACK,feature_window_p95_ms,34520.900480000135
C10_MULTI_DOMAIN_ATTACK,feature_window_p99_ms,34618.345376000114
C10_MULTI_DOMAIN_ATTACK,transformer_mean_ms,1.3487808333479734
C10_MULTI_DOMAIN_ATTACK,transformer_median_ms,1.4171499999520165
C10_MULTI_DOMAIN_ATTACK,transformer_p95_ms,1.8647349998673235
C10_MULTI_DOMAIN_ATTACK,transformer_p99_ms,2.157255000197438
C10_MULTI_DOMAIN_ATTACK,prediction_end_to_end_mean_ms,1.4077525000288915
C10_MULTI_DOMAIN_ATTACK,prediction_end_to_end_median_ms,1.4816499999597
C10_MULTI_DOMAIN_ATTACK,prediction_end_to_end_p95_ms,1.9398450001062884
